Year,Constellation Annual Return,Brown-Forman Annual Return,Diageo Annual Return,Willamette Annual Return,Average Annual Return
1996,-0.19282427899310386,0.19552315170897222,0.05715841383994862,-0.08701137698962981,-0.006788522608453208
1997,0.6997917232786138,0.18096186934313477,0.2003040593443869,-0.6931471805599453,0.09697761785154754
1998,0.02447285651872574,0.32750350982027243,0.20235561582707068,0.2144098713454551,0.19218546337788098
1999,-0.09945375117539007,-0.27988257646937076,-0.36802758103603367,0.0,-0.18684097717019862
2000,0.15969183864654152,0.17013625613566444,0.31933939232247255,-0.26706278524904525,0.09552617546390832
2001,0.3948829987776274,-0.04225980928988273,0.02240449932777047,0.1967102942460543,0.14293449576539236
2002,0.10746356585460508,0.04536667571791131,-0.06280087809088253,-0.04204823624349951,0.011995281809533591
2003,0.29132949290882443,0.33625836911101903,0.1732716572895986,0.39204208777602384,0.29822540177136647
2004,0.3481277796515464,0.04412480346004349,0.07257997048713764,0.24981179839637108,0.17866108799877467
2005,0.11572419027613427,0.37167118703367397,0.017635242650603206,0.5141645250315052,0.25479878624797914
2006,0.10543743074518737,-0.0728572695107219,0.2875141688364066,0.31481073984003344,0.1587262674777264
2007,-0.16666999390281656,0.1145285352414202,0.07109468981336914,-0.06931179989022883,-0.012589642184564011
2008,-0.4088780807044044,-0.1191995408999336,-0.41818372723120695,-0.9050275395954442,-0.46282222210774726
2009,-0.02898759766352394,0.02782883418064555,0.19319362304518334,0.06658560475929605,0.06465511608040025
2010,0.30825070131271487,0.2536042766415973,0.06168246816743291,-0.023461486678998045,0.15001898986068676
2011,-0.0410920139922851,0.15910715911301543,0.15708526776364581,-0.08923113372794264,0.046467319789108376
2012,0.5050200339965053,0.1429767415351649,0.2668687732328318,0.17904823144898546,0.2734784450533719
2013,0.622555561085229,0.16914585289909392,0.1066136035323689,0.4741195128462424,0.34310863259073354
2014,0.35945852149825464,0.17357609252330736,-0.1266667412047528,-0.06736553182757596,0.08475058524730833
2015,0.38515772411041843,0.13741903850185472,-0.020159052182829797,0.1761086026092364,0.16963157825966996
2016,0.08831357030633377,-0.07152368278526915,-0.0334056445755292,0.14653825750942504,0.032480625113740114
2017,0.3880608728053437,0.42523294787628513,0.3403830275976876,0.022195732391784347,0.2939681451677752
2018,-0.32619681134036327,-0.13079195354962997,-0.02088776000416039,-0.1671642835723085,-0.16126020211661551
2019,0.13633170497861044,0.38315013193287234,0.1866393716419074,-0.026932882359588087,0.1697970815484505
2020,0.144943693643395,0.15763831947058193,-0.05529403346672849,-0.07553552414490732,0.042938113875585285
2021,0.13983816082789235,-0.07088950430244131,0.32307980768763417,0.3260365702280068,0.179516258610273
